"Year","Sex","Subclassification","Value","Value Footnotes","Number"
"2008","Women","F Construction","26388","1,2","13"
"2007","Women","F Construction","32281","1,2","16"
"2006","Women","F Construction","31968","1,2","16"
"2005","Women","F Construction","23011","1,2","12"
"2004","Women","F Construction","26384","1,2","13"
"2003","Women","F Construction","2141","1,2","1"
"2002","Women","F Construction","33757","1,2","17"
"2001","Women","5 Construction","258","1,2,3","0.1"
"2000","Women","5 Construction","11691","2,3,4","6"
"1999","Women","5 Construction","2542","2,3,4","1"
"1998","Women","5 Construction","26185","2,3,4","13"
"2008","Women","N Health and Social Work","2316649","1,2","380"
"2007","Women","N Health and Social Work","2400065","1,2","393"
"2006","Women","N Health and Social Work","2154168","1,2","353"
"2005","Women","N Health and Social Work","2485537","1,2","407"
"2004","Women","N Health and Social Work","2558196","1,2","419"
"2003","Women","N Health and Social Work","2589001","1,2","424"
"2002","Women","N Health and Social Work","2525928","1,2","414"
"2001","Women","9 Community, Social and Personal Services","25681","1,2,3","4"
"2000","Women","9 Community, Social and Personal Services","1140277","2,3,4","187"
"1999","Women","9 Community, Social and Personal Services","1050163","2,3,4","172"
"1998","Women","9 Community, Social and Personal Services","997571","2,3,4","164"
"2008","Women","A Agriculture, Hunting and Forestry","4001","1,2","1"
"2007","Women","A Agriculture, Hunting and Forestry","389694","1,2","52"
"2006","Women","A Agriculture, Hunting and Forestry","253531","1,2","34"
"2005","Women","A Agriculture, Hunting and Forestry","541541","1,2","72"
"2004","Women","A Agriculture, Hunting and Forestry","416484","1,2","56"
"2003","Women","A Agriculture, Hunting and Forestry","454923","1,2","61"
"2002","Women","A Agriculture, Hunting and Forestry","340404","1,2","45"
"2001","Women","1 Agriculture, Hunting, Forestry and Fishing","4297","1,2,3","1"
"2000","Women","1 Agriculture, Hunting, Forestry and Fishing","13469","2,3,4","2"
"1999","Women","1 Agriculture, Hunting, Forestry and Fishing","132","2,3,4","0.1"
"1998","Women","1 Agriculture, Hunting, Forestry and Fishing","14772","2,3,4","2"


